gene,BF_hpaf,BF_patu,BF_aspc,BF_dld,BF_gbm,BF_hct,BF_hela,BF_rpe,panc.mean,nonpanc.mean,zPanc_vs_other
KISS1R,0.35,1.95,1.22,0.97,0.53,-0.02,-0.36,-0.85,1.17,0.06,2.23
MED13L,0.96,0.86,1.93,1.9,0.74,-0.39,-1.38,-0.23,1.25,0.13,2.23
VSX2,0.63,0.45,0.86,0.1,-0.13,-0.87,-0.33,-0.76,0.65,-0.4,2.23
CDKN2A,1.51,-0.45,-0.82,-0.67,-0.93,-0.57,-1.51,-0.79,0.08,-0.89,2.22
MLEC,0.73,-0.19,2.02,-0.24,-0.7,-0.1,-0.11,0.06,0.85,-0.22,2.22
MPPED1,0.52,-0.12,0.34,-0.38,-1,-0.91,-0.99,-0.45,0.25,-0.74,2.22
RQCD1,3.21,1.67,2.03,0.92,1.22,0.34,1.22,1.53,2.3,1.05,2.22
GTSE1,0.4,-0.17,2.35,-0.12,-0.12,-0.02,-0.78,0.03,0.86,-0.2,2.2
SLC3A2,0.62,0.13,2.7,-0.31,0.15,0.22,0.07,0.13,1.15,0.05,2.2
TMEM8A,-0.11,0.76,1.56,0.09,-0.76,-0.9,-0.22,0.25,0.74,-0.31,2.2
VIPAS39,1.24,-0.25,1.08,-0.45,0.2,0.2,-0.7,-1.01,0.69,-0.35,2.2
DENND4C,-0.64,1.82,0.67,0.36,-1.1,-0.39,-0.25,-0.68,0.62,-0.41,2.19
FUBP1,3.03,-0.18,0.62,0.61,-0.41,-0.35,-0.14,0.6,1.16,0.06,2.19
NRXN3,-0.12,-0.95,0.09,-0.89,-1.04,-1.2,-1.88,-1.16,-0.33,-1.23,2.19
TMEM95,0.16,-0.02,1.44,-0.84,-0.02,-0.41,-0.84,-0.34,0.53,-0.49,2.19
ATP6V1G2,0.18,-0.21,0.54,-0.52,-1.06,-1.05,-0.73,-0.61,0.17,-0.79,2.18
LTA,0.31,-0.8,2.06,-0.52,-0.68,0.08,-0.87,-0.44,0.52,-0.49,2.18
MYBPH,0.43,0.73,0.84,-0.33,-0.27,-0.31,0.15,-1.05,0.66,-0.36,2.18
CD72,-0.64,-1.1,2.76,-0.97,-1.1,-0.69,-0.4,-0.07,0.34,-0.64,2.17
HOXB6,0.37,-0.03,1.48,0.08,-0.98,-0.35,-1.08,0.29,0.61,-0.41,2.17
HPCAL4,0.24,0.63,1.54,-0.17,-0.99,-0.45,0.76,-0.34,0.8,-0.24,2.17
JAGN1,-0.4,-0.14,2.88,-0.8,-0.71,0.01,0.7,-0.5,0.78,-0.26,2.17
MSLN,0.52,0.83,2.23,0.65,-0.34,0.19,0.73,-0.71,1.2,0.11,2.17
OR9Q2,-0.35,-0.86,1.93,-0.54,-0.8,-1.1,-0.93,-0.28,0.24,-0.73,2.17
PARP10,1.92,1.16,1.64,1.18,0.13,-0.62,1.24,0.23,1.57,0.43,2.17
UGP2,1.9,1.49,1.25,-0.52,-0.09,0.76,1.99,-0.09,1.55,0.41,2.17
ASXL3,1.36,-0.79,0.84,-0.6,-0.85,-0.58,-0.76,0.17,0.47,-0.52,2.16
MEOX2,0.08,0.05,1.01,-0.39,-0.85,-0.65,-0.55,-0.57,0.38,-0.6,2.16
EMC6,2.36,2.78,1.31,3.27,-0.31,0.3,0.82,0.63,2.15,0.94,2.15
RCOR1,1.51,0.67,0.62,0.07,0.01,0.02,0.27,-0.95,0.93,-0.12,2.15
STXBP3,0.37,1.48,0.26,-0.39,-0.55,0.01,-0.22,-0.42,0.71,-0.32,2.15
TRIT1,1.16,1.32,-0.48,0.29,-0.45,-0.87,-0.1,-0.61,0.67,-0.35,2.15
CPN2,0.89,0.2,1.09,-0.27,-0.54,-0.55,-0.54,0.43,0.73,-0.29,2.14
DNAL4,0.06,-0.15,1.55,-0.47,-0.49,-0.21,-0.51,-0.85,0.49,-0.5,2.14
PGD,4.93,3.88,0.9,3.19,-1.11,2.93,4.47,-0.01,3.24,1.89,2.14
DCST2,-0.24,-0.06,1.09,-0.49,-0.77,-1.05,-0.46,-0.69,0.26,-0.69,2.13
FAM49B,0.85,1.12,0.77,-0.16,1.04,-0.79,-0.54,-0.19,0.91,-0.13,2.13
GP6,-0.55,1.34,0.8,-0.44,-0.23,-0.25,-1.27,-0.12,0.53,-0.46,2.13
KCNQ2,-0.28,1.02,1.55,-0.66,-0.03,-0.77,0.54,-0.37,0.76,-0.26,2.13
SHPK,-0.1,-0.29,-0.65,-1.14,-1.08,-1.13,-1.52,-1.26,-0.35,-1.22,2.13
WDR85,0.18,0.51,1.01,0.02,-0.17,-0.48,-0.46,-1.03,0.57,-0.43,2.13
XPO4,0.76,0.79,-0.13,-0.14,-0.93,-0.57,-0.64,-0.25,0.47,-0.51,2.13
BFSP2,0.11,-0.12,1.61,-0.08,-0.11,-0.8,-0.82,-0.44,0.53,-0.45,2.12
CYP4B1,-0.73,0.3,0.47,-0.78,-0.65,-1.31,-0.77,-1.02,0.02,-0.91,2.12
SLC8A2,0.59,-0.39,0.46,-0.3,-1.01,-0.69,-1.51,-0.13,0.22,-0.73,2.12
TMEM8B,-1.07,0.57,1.67,-0.21,-0.72,-0.8,-0.66,-0.49,0.39,-0.58,2.12
C12orf43,0.71,-0.18,2.08,-0.41,-0.76,0.1,-0.11,0.41,0.87,-0.15,2.11
GSC2,0.65,1.11,2.18,0.74,-0.09,0.14,0.13,0.24,1.31,0.23,2.11
KLF5,0.67,4.25,2.34,2.58,1.2,-0.02,1.84,0.38,2.42,1.19,2.11
BSCL2,0.81,-0.52,0.36,-0.72,-0.53,-0.56,-0.85,-0.93,0.22,-0.72,2.1
CMTM5,0.22,-0.4,0.82,-0.67,-0.88,-0.63,-0.53,-0.91,0.21,-0.72,2.1
NFE2L1,-0.78,1.1,0.4,-0.52,-0.64,-0.87,-0.74,-0.74,0.24,-0.7,2.1
PLAT,-0.65,0.92,0.31,-0.51,-0.7,-0.45,-1.31,-0.75,0.19,-0.74,2.1
SHISA2,0.33,0.53,0.64,-1,-1.08,0.19,-0.19,-0.27,0.5,-0.47,2.1
SLC45A3,0.14,-0.25,0.94,-0.31,-0.92,-1.2,-0.27,-0.65,0.28,-0.67,2.1
DHODH,3.01,3.76,-0.57,0.87,-0.85,3.93,1.32,-0.79,2.07,0.9,2.09
FAM126B,1.19,-1.13,-0.24,-0.93,-0.81,-0.69,-1.04,-1.31,-0.06,-0.96,2.09
FXYD5,-0.36,0.88,0.48,-0.48,-0.73,-0.18,-1.05,-0.63,0.33,-0.61,2.09
USP27X,-1.1,2.98,-0.25,-0.6,-0.49,-0.16,-0.2,-0.7,0.54,-0.43,2.09
IDH3B,0.06,0.87,0.66,-0.83,-0.35,0.22,-0.42,-0.8,0.53,-0.44,2.08
UTS2R,0.14,0.03,0.3,0.34,-1.09,-0.63,-1.47,-0.96,0.16,-0.76,2.08
ZNF296,-0.71,0.56,0.91,-1.15,0.26,-0.64,-0.95,-0.92,0.25,-0.68,2.08
EFCC1,0.07,-0.52,1.58,-0.14,-0.93,-0.98,-0.48,-0.32,0.37,-0.57,2.07
SHC2,-0.18,0.29,0.89,-0.21,-0.23,-1.12,-0.58,-0.88,0.33,-0.6,2.07
TMEM131,0.97,0.47,1.35,-0.99,0.35,0.89,-1.12,0.44,0.93,-0.09,2.07
ZNF217,2.98,1.36,0.97,0.67,1.95,0.03,1.29,-0.7,1.77,0.65,2.07
ZNF707,0.96,-0.19,1.95,-0.44,0.18,-0.12,-0.22,0.07,0.91,-0.11,2.07
ATRIP,1.27,3.17,3.14,1.91,0.87,1.92,0.58,1.27,2.53,1.31,2.06
CCR7,-0.24,1.02,0.81,-0.32,-0.48,-0.43,0.08,-1,0.53,-0.43,2.06
LCA5L,-0.86,-0.91,3.01,-0.8,-0.22,-0.51,-1.01,-0.12,0.41,-0.53,2.06
LINGO1,-0.29,0.72,2.02,-0.36,-0.02,-0.81,0.12,0.19,0.82,-0.18,2.06
WDR59,1.19,0.48,1.21,0.95,-1.04,0.07,-0.22,-0.05,0.96,-0.06,2.06
ANKHD1,0.86,-0.21,1.41,-0.53,0.09,-0.26,-0.64,-0.11,0.69,-0.29,2.05
APBB1IP,-0.46,0.35,1.31,-0.03,-0.64,-0.76,-0.16,-1.11,0.4,-0.54,2.05
LRRC3,-0.33,0.02,1.31,-0.73,-0.04,-0.52,-1.1,-0.58,0.34,-0.59,2.05
NCS1,0.58,-0.1,-0.01,-0.35,-0.95,-0.76,-1.32,-0.37,0.16,-0.75,2.05
NT5C1B,0.55,-0.83,-0.43,-0.72,-1.12,-1.27,-1.55,-0.81,-0.24,-1.09,2.05
TCL1B,0.45,0.12,-0.01,-0.69,-0.53,-0.57,-1.29,-0.54,0.19,-0.72,2.05
ARL10,1.44,0.54,0.49,-0.31,-0.09,-0.07,0.15,-0.52,0.82,-0.16,2.04
GPC4,-1.23,-0.33,0.64,-1.08,-1.01,-1.15,-1.31,-1.18,-0.31,-1.15,2.04
HERC2,0.96,0.95,-0.8,-0.07,-1.01,-0.56,-0.68,-0.48,0.37,-0.56,2.04
TRPM7,-0.05,1.2,4.03,0.56,-0.48,1.78,0.32,0.95,1.73,0.62,2.04
ARNT,-1.43,0.84,0.26,-0.69,-0.61,-0.79,-1.22,-1.54,-0.11,-0.97,2.03
C1orf35,0.65,-0.6,0.76,-0.66,-0.58,-0.22,-1.11,-0.66,0.27,-0.64,2.03
CNTFR,0.32,-0.53,1.21,-0.8,-0.9,-1.09,-0.39,0.24,0.33,-0.59,2.03
DCAF7,2.23,3.36,0.78,1.13,-0.79,2.1,0.08,2.33,2.12,0.97,2.03
FAM160A2,0.07,-0.53,1.3,-0.8,-0.37,-0.34,-0.7,-0.96,0.28,-0.63,2.03
RPRD2,1.03,0.88,0.71,-0.26,-0.73,0.87,0.16,-0.64,0.87,-0.12,2.03
TESK1,-0.4,0,2.53,-0.55,-0.2,-0.15,-0.59,0.18,0.71,-0.26,2.03
COMMD2,0.62,1.7,0.31,-0.24,0,-0.25,-0.22,0.17,0.88,-0.11,2.02
LIG3,1.91,2.08,0.33,0.24,0.95,0.56,0.38,-0.24,1.44,0.38,2.02
PDPR,0.16,2.02,2.16,-0.17,-0.41,-0.14,0.99,1.66,1.45,0.39,2.02
PMVK,1.95,3.02,3.7,2.72,1.51,3.53,1.12,-0.68,2.89,1.64,2.02
TK1,0.49,0.06,0.31,-0.07,-0.57,-0.42,-0.9,-1.16,0.29,-0.62,2.02
AHCY,2.83,3.45,2.31,2.02,0.28,3.77,1.91,0.16,2.87,1.63,2.01
CNTNAP5,-0.79,0.39,0.29,-0.95,-0.94,-0.77,-0.7,-1.17,-0.04,-0.9,2.01
LATS2,-0.42,-0.53,-0.24,-0.95,-0.78,-0.88,-1.92,-1.54,-0.4,-1.22,2.01
MMP28,1,2.17,-0.23,0.11,-0.25,-0.19,0.08,0.18,0.98,-0.01,2.01
NAA35,2.14,1.2,1.23,1.3,-0.07,0.21,0.93,-0.09,1.52,0.46,2.01
PANX3,-0.12,-0.19,1,-1.08,-0.55,0,-1.17,-0.55,0.23,-0.67,2.01
SLC7A1,0.91,0.34,1.01,-0.8,-1.16,2.64,-1.08,-0.67,0.75,-0.21,2.01
SPTB,0.15,0.24,0.51,0.2,0.22,-0.76,-1.68,-1.03,0.3,-0.61,2.01
SULT1C2,0.71,-0.61,0.62,-0.7,-0.77,-0.28,-0.3,-1.26,0.24,-0.66,2.01
TMEM130,-0.31,-0.18,2.07,-0.48,-0.26,-0.75,-0.27,-0.31,0.52,-0.41,2.01
WNT7B,1.08,0.27,0.87,-0.71,0.24,-0.39,0.6,-0.85,0.74,-0.22,2.01
C1QTNF8,-0.48,-0.19,1.89,-0.03,-0.54,-0.5,-0.43,-1.04,0.41,-0.51,2
CMTM8,0.46,-0.07,0.06,-0.91,-0.27,-0.98,-1.07,-0.43,0.15,-0.73,2
EPC2,0.4,0.3,1.74,-0.32,-0.38,-0.01,-1.26,1.21,0.81,-0.16,2
GBA2,-0.37,-0.22,2.43,-0.19,-0.33,-0.93,0.45,-0.65,0.61,-0.33,2
IMPG2,-0.96,-0.73,1.03,-0.78,-1.04,-0.95,-1.55,-0.96,-0.22,-1.06,2
INPP5A,1.49,2.13,0.66,0.99,0.38,-0.21,0.25,0.46,1.42,0.37,2
IRS2,-0.75,2.63,3.36,-0.8,1.4,-0.16,2.75,0.08,1.74,0.65,2
SP5,0.82,0,0.18,-0.91,-1.04,-0.35,0.37,-0.92,0.33,-0.57,2
TBKBP1,-0.31,3.65,-0.05,0.07,-0.34,0.56,0.03,0.12,1.09,0.09,2
TRRAP,4,4.13,4.2,2.89,4.41,2.34,0.86,3.06,4.11,2.71,2
ACSS2,0.56,-0.6,0.67,-0.17,-0.65,-1.04,-0.52,-1.02,0.21,-0.68,1.99
COL23A1,-0.3,0.41,0.02,-0.57,-0.83,-1.3,-1.01,-0.4,0.05,-0.82,1.99
KCNIP3,0.15,0.09,2.43,-0.47,-0.37,-0.1,0.71,-0.19,0.89,-0.08,1.99
RXRA,-0.26,1.4,0.37,-1.02,-0.03,-0.2,-0.83,-0.02,0.5,-0.42,1.99
SETMAR,0.34,-0.79,1.58,-0.68,-0.29,-0.68,-0.15,-0.85,0.38,-0.53,1.99
TMEM175,0.18,0.3,-0.1,-0.9,-0.61,-0.79,-0.39,-1.05,0.13,-0.75,1.99
ELMO3,0.82,-0.57,2.32,0.09,-0.84,0.79,-0.41,-0.17,0.86,-0.11,1.98
IPO13,2.3,3,2.24,0.95,0.93,1.65,0.65,2.49,2.51,1.33,1.98
KDM2A,1.86,-0.47,2.05,0.68,-1.07,0.8,0.03,0.28,1.15,0.14,1.98
MTHFD1,1.51,2.96,1.6,1.92,-0.21,2.04,1.23,-0.42,2.03,0.91,1.98
RAB36,-1,-0.19,0.56,-0.83,-1.24,-1.21,-0.86,-1.05,-0.21,-1.04,1.98
ZC3H7A,0.79,0.47,0.58,-0.32,-0.99,-0.41,0.05,0.05,0.61,-0.32,1.98
DHRS13,0.28,1.26,-0.4,-0.1,-0.01,-0.64,-1.57,-0.29,0.38,-0.52,1.97
GPR139,-0.06,0.25,0.72,-0.88,-0.69,-0.38,-0.7,-0.31,0.3,-0.59,1.97
TMEM199,3.3,3.36,2.68,2.43,2.01,1.73,1.97,1.15,3.11,1.86,1.97
XYLT1,-0.15,-0.46,1.03,-1.11,-1.05,-0.17,-0.64,-0.66,0.14,-0.73,1.97
ATP5SL,1.35,1.55,0.62,0.53,1,1.18,-1.2,-0.64,1.17,0.17,1.96
CTSZ,-0.14,-0.39,2.22,0.3,0.46,-1.1,-0.23,-1.21,0.57,-0.36,1.96
L3MBTL3,0.2,-0.68,1.46,0.22,-0.6,-0.08,-1.23,-1.13,0.33,-0.56,1.96
LYZL4,-0.24,-0.62,0.85,-0.63,-1.13,-0.44,-1.21,-0.85,-0.01,-0.85,1.96
AAGAB,0.27,0.34,2.1,-0.29,-0.57,-0.17,0.16,0.57,0.9,-0.06,1.95
CCDC134,0.01,1.82,-0.14,-0.64,-0.35,-0.29,0.12,-0.59,0.56,-0.35,1.95
FAM110B,0.09,0.15,0.45,-0.77,-0.2,-0.95,-0.47,-0.82,0.23,-0.64,1.95
FGF3,0.48,-0.18,0.76,-0.61,0.48,-1.27,0.11,-1.39,0.35,-0.53,1.95
IHH,-0.12,0.34,1.25,0.1,-0.64,-1.1,-0.34,-0.09,0.49,-0.42,1.95
NTRK2,-0.19,-0.87,0.61,-0.51,-1.18,-1.17,-0.78,-1.23,-0.15,-0.98,1.95
PROSC,-0.35,1.19,-1.07,-0.74,-1.03,-1.3,-1.14,-0.34,-0.08,-0.91,1.95
TMED2,1.87,3.93,1.39,2.9,1.07,0.34,1.16,0.76,2.4,1.24,1.95
TRPM3,-0.25,-0.54,1.6,-0.28,-0.94,-0.68,-0.81,-0.35,0.27,-0.61,1.95
ZDHHC15,0,-0.77,-0.29,-1.04,-0.82,-1.21,-1.3,-1.37,-0.35,-1.15,1.95
NAA60,0.83,0,2.26,-0.04,-0.22,0.88,-0.44,0.11,1.03,0.06,1.94
PARD3,1.07,-1.31,0.35,-0.67,-0.62,-1.19,-0.82,-0.72,0.04,-0.81,1.94
SLCO3A1,-0.5,-0.21,0.86,-0.77,-0.87,-1.15,-1.61,0.43,0.05,-0.8,1.94
ST6GALNAC4,0.46,-0.7,0.49,-0.49,-0.72,-0.68,-1.04,-0.9,0.08,-0.77,1.94
CSNK1D,0.3,-0.46,-0.36,-0.64,-1.01,-0.93,-1.14,-1.21,-0.17,-0.98,1.93
CXorf67,-0.52,-0.02,0.62,-0.65,-0.66,-0.71,-1.22,-0.81,0.02,-0.81,1.93
KIF2A,1.13,0.92,-0.34,-0.07,0.81,-1.05,-1.49,0.1,0.57,-0.34,1.93
NGB,0.17,-0.28,0.12,-0.9,-0.51,-0.8,-1.17,-0.77,0,-0.83,1.93
COMMD4,0.72,0.86,0.46,-0.43,-0.33,-0.51,-0.37,0.46,0.68,-0.24,1.92
HPS1,0.37,1.59,1.98,0.66,0.22,0.23,0.66,-0.19,1.31,0.31,1.92
KCNQ1,0.74,-0.13,0.08,-0.81,-0.2,-0.14,-1.48,-0.53,0.23,-0.63,1.92
PAPD5,0.59,1.47,-0.02,1.34,-0.04,-0.8,-1.51,-0.19,0.68,-0.24,1.92
PPARGC1A,-0.62,0.23,1.67,-0.45,-0.53,-0.06,-0.04,-1.23,0.42,-0.46,1.92
ESRRA,1.06,0.37,2.34,0.39,-0.36,0.2,1.12,-0.01,1.26,0.27,1.91
EVI5L,-0.15,-0.66,0.79,-0.9,-1.09,-0.12,-1.12,-0.92,-0.01,-0.83,1.91
TNS4,-0.01,0.53,0,-0.52,-1.07,-0.75,-0.69,-0.34,0.17,-0.67,1.91
TOX2,-0.88,0.32,1.68,-0.93,0,-1.34,-0.39,0.16,0.37,-0.5,1.91
ZNF395,0.7,2.31,-1,-0.76,-0.22,-0.54,-0.14,0.45,0.67,-0.24,1.91
C9orf53,1.25,-0.81,0.64,-0.19,-0.49,-0.85,-1.01,0.02,0.36,-0.51,1.9
DHRS12,0.02,-0.08,0.2,-0.81,-1.07,-0.19,-1.13,-0.7,0.05,-0.78,1.9
VWA8,0.28,0.98,0.27,-0.63,-0.49,0.02,-0.29,-0.51,0.51,-0.38,1.9
APTX,-0.12,-0.35,2.12,-0.54,-0.55,0.01,-0.77,0.14,0.55,-0.34,1.89
CAMK2N2,0.74,0.29,0.96,-0.26,0.1,-0.19,-0.11,-0.74,0.66,-0.24,1.89
GPR17,0.74,-0.57,0.98,-0.3,-0.54,-0.36,-1.08,-0.14,0.38,-0.48,1.89
KATNB1,2.46,3.03,0.37,1.99,-0.08,1.43,0.26,0.83,1.96,0.89,1.89
OPRK1,-0.59,-0.07,-0.28,-0.72,-1.13,-1.31,-1.11,-1.17,-0.31,-1.09,1.89
RBFA,1.43,1.67,1.69,0.95,1.12,1.21,0.2,-0.61,1.59,0.57,1.89
RBP2,-0.13,-0.06,0.61,-1.08,-0.68,-0.51,-0.73,-0.5,0.14,-0.7,1.89
RDH8,-0.05,-0.53,0.02,-0.44,-1.19,-0.87,-1.51,-0.88,-0.19,-0.98,1.89
ROGDI,1.5,-0.14,0.79,-0.65,-0.86,-0.42,0.41,0.56,0.71,-0.19,1.89
SERINC5,0.46,-0.81,1.51,-1.07,0.12,-0.15,-0.57,-0.73,0.38,-0.48,1.89
TMEM201,2.17,-0.28,-0.34,-0.05,-1.02,-0.76,-0.53,0.52,0.52,-0.37,1.89
CEACAM8,-0.12,-0.27,0.34,-0.66,-0.47,-0.99,-1.05,-0.96,-0.01,-0.83,1.88
MRPS12,1.64,2.18,1.56,1.32,-0.31,1.65,-0.63,1.72,1.79,0.75,1.88
NOTCH2,-0.43,0.88,-0.34,-0.38,-1.27,-0.74,-1.33,-0.19,0.04,-0.78,1.88
PTAR1,-0.03,2.4,0.56,0.69,0.81,-0.75,0.25,-0.83,0.98,0.04,1.88
SERPINE3,-0.6,-0.49,0.21,-0.97,-1.03,-0.35,-1.78,-1.23,-0.29,-1.07,1.88
ACAT2,1.21,0.51,-0.14,-0.4,0.81,-0.81,-0.52,-0.82,0.53,-0.35,1.87
CABYR,-0.59,1.64,-0.83,-0.96,-0.66,-1.05,-0.47,-0.57,0.07,-0.74,1.87
COQ3,2.43,1.17,1.28,0.6,2,0.76,-0.23,-0.1,1.63,0.61,1.87
EIF4G1,1.51,2.84,2.48,1.56,1.37,1.55,0.98,0.4,2.28,1.17,1.87
RAB11FIP4,1.45,1.62,1.07,0.94,-0.1,0.17,-0.18,1.13,1.38,0.39,1.87
SLC38A8,0.16,-0.3,0.67,-0.72,-0.74,-0.83,-0.45,-0.54,0.18,-0.66,1.87
SP1,2.43,-0.26,-0.42,-0.69,-0.97,0.16,0.13,-0.12,0.58,-0.3,1.87
UBA6,1.47,3.49,0.95,-0.66,0.54,2.54,1.42,0.69,1.97,0.91,1.87
VIPR2,-0.39,-0.57,1.09,-0.39,-0.67,-0.66,-1.23,-0.9,0.04,-0.77,1.87
WSCD2,-0.21,-0.01,1.41,-0.62,-0.98,-0.34,-0.39,0,0.4,-0.46,1.87
ZNF280A,0.12,-0.28,1.16,0.02,-0.59,-0.67,-0.7,-0.64,0.33,-0.52,1.87
ZNF524,0.23,2.17,1.79,-0.26,2.06,0.56,0.19,-0.53,1.39,0.4,1.87
AZU1,0.34,-0.11,-0.21,-0.91,-0.55,-0.8,-1.05,-0.68,0.01,-0.8,1.86
CHPF,0.99,0.85,0.72,-0.52,-0.19,0.61,0.09,-0.3,0.85,-0.06,1.86
CILP2,0.01,-0.63,1.59,-0.23,-0.35,-0.42,-0.75,-0.86,0.32,-0.52,1.86
CLIC3,0.26,0.17,1.97,-0.68,-0.13,0.21,0.12,-0.07,0.8,-0.11,1.86
FAM135B,-0.56,-0.35,0.31,-0.95,-0.5,-0.85,-1.39,-1.21,-0.2,-0.98,1.86
LRRC46,-0.04,1.21,-0.05,0.04,-0.2,-0.81,-0.55,-0.87,0.37,-0.48,1.86
NR2F6,-0.7,1.28,0.33,-0.21,-0.89,-0.18,-0.84,-0.57,0.3,-0.54,1.86
TM2D2,1.63,-0.77,0.31,-0.38,-1.07,-0.57,0,-0.31,0.39,-0.47,1.86
TRIP12,-0.69,-0.41,0.46,-0.54,-1.12,-1.32,-0.97,-1,-0.21,-0.99,1.86
BEND2,-1.41,-1.1,1.27,-1.04,-1.3,-1.2,-1.49,-0.75,-0.41,-1.16,1.85
CATSPER4,-0.4,0.16,0.84,-0.73,-0.71,-0.11,-0.49,-1.09,0.2,-0.63,1.85
CRNN,0.36,-0.57,-0.03,-0.32,-1.01,-1.4,-0.76,-0.87,-0.08,-0.87,1.85
EDC4,0.82,-1.24,1.47,0.18,-1.05,-1.39,-0.64,0.41,0.35,-0.5,1.85
GATA4,-0.27,1.19,-0.34,-0.2,-0.99,-0.77,-0.23,-0.96,0.19,-0.63,1.85
HSD11B2,-0.02,-0.48,0.85,-0.38,-1.02,-0.96,-0.81,-0.33,0.12,-0.7,1.85
PGLYRP4,-0.13,0.61,0.9,-0.04,-0.31,-0.7,-0.17,-0.77,0.46,-0.4,1.85
UNC5B,0.91,0.18,1.65,-0.55,0.25,0.34,-1.14,1.06,0.91,-0.01,1.85
BTBD1,1.34,-0.05,0.11,-0.37,-0.58,0.1,0.12,-1.22,0.47,-0.39,1.84
COQ6,3.69,1.62,0.63,0.89,0.33,3,0.71,-0.29,1.98,0.93,1.84
KDM8,2.81,2.63,1.41,1.6,1.3,1.89,-0.1,1.28,2.28,1.19,1.84
SGCE,0.81,-0.95,0.97,-0.68,-0.28,-0.55,-0.93,-0.35,0.28,-0.56,1.84
SLC38A2,1.49,0.38,1.09,0.11,0.07,0.47,0.3,-0.64,0.98,0.06,1.84
STK11,2.8,2.12,-1.09,1.31,-1.02,0.11,-0.15,1.35,1.28,0.32,1.84
WDR5,2.66,2.52,1.55,0.77,0.55,1.86,0.07,2.53,2.24,1.16,1.84
ACSBG1,-0.52,0.41,-0.76,-0.76,-0.71,-1.2,-1.37,-1.17,-0.29,-1.04,1.83
ARHGAP36,0.33,0.92,0.52,-0.7,0.1,-0.34,-0.09,-0.35,0.59,-0.28,1.83
IL4R,0.11,0.36,1.46,-0.02,-0.04,-0.25,-1.14,0.29,0.64,-0.23,1.83
LYRM1,-0.09,0.24,0.73,-0.5,-0.9,-0.58,0.07,-0.77,0.29,-0.54,1.83
SLC6A16,0.24,0.13,0.51,-0.54,-0.62,-0.37,-0.42,-0.74,0.29,-0.54,1.83
SPTBN1,0.59,-0.59,-0.03,-0.6,-0.78,-0.69,-1.34,-0.6,-0.01,-0.8,1.83
VWA5B2,0.67,0.13,0.32,-0.38,-0.42,-1.03,0.13,-0.64,0.37,-0.47,1.83
WDR20,0.47,0.15,1.49,-0.26,0.64,-0.56,0.49,-1.2,0.7,-0.18,1.83
CIRBP,0.25,1.16,0.17,-0.1,-0.43,-0.8,-1.06,0.74,0.53,-0.33,1.82
CSNK1E,0.35,-0.21,1.58,-0.07,-1.27,-0.42,-0.16,0.48,0.58,-0.29,1.82
GMPPB,3.66,3.38,2.28,2.18,1.16,3.77,1.32,1.17,3.11,1.92,1.82
TNNT3,-0.01,-0.29,0.35,-0.5,-1.13,-0.27,-1.06,-0.91,0.01,-0.78,1.82
TOR4A,0.33,-0.5,1.32,-0.01,-0.59,-0.44,-0.66,-0.58,0.38,-0.46,1.82
ANKMY2,-0.2,-0.17,0.67,-0.69,-0.23,-0.93,-0.52,-1.1,0.1,-0.69,1.81
CHID1,0.59,-0.73,1.28,-0.58,-0.93,0.1,-1.38,0.5,0.38,-0.46,1.81
GAS2L2,0.4,1.3,1.59,0.28,-0.51,-0.09,-0.02,1.2,1.1,0.17,1.81
HRASLS,0.09,-0.7,-0.32,-0.58,-1,-1.36,-1.2,-1.12,-0.31,-1.05,1.81
LINGO3,0.97,-0.32,-0.36,-0.86,-0.24,-0.67,-0.7,-1.03,0.1,-0.7,1.81
PPP6R1,0.61,1.14,-1.1,-0.88,-0.29,-0.75,-0.15,-0.93,0.21,-0.6,1.81
SPATS2L,-0.66,-0.41,0.78,-0.78,-1.26,-1.07,-0.43,-0.79,-0.09,-0.87,1.81
UQCRC1,2.68,2.89,1.98,2.1,2.97,1.21,1.04,-0.26,2.52,1.41,1.81
COQ7,1.57,0.97,0.36,0.05,-0.4,1.46,-0.79,-0.01,0.96,0.06,1.8
GRK6,0,1.26,0,-0.44,0.3,-0.92,-0.46,-0.54,0.42,-0.41,1.8
LRRC25,0.23,-0.54,0.73,-0.62,-0.7,-0.42,-1.22,-0.33,0.14,-0.65,1.8
PMP22,-0.21,1.2,-0.38,-0.42,-0.57,-0.39,-1.17,-0.47,0.2,-0.6,1.8
SOST,0.88,-0.02,-0.07,-0.57,-0.22,-1.11,-0.51,-0.33,0.26,-0.55,1.8
UBASH3B,0.23,-0.79,1.2,-0.09,-0.45,-0.44,-0.79,-1.21,0.21,-0.59,1.8
C10orf76,0.19,1.13,1.4,-0.45,-0.23,-0.14,-0.58,1.49,0.91,0.02,1.79
CNGA3,0.96,0.04,0.17,-0.1,-0.38,-0.81,-0.95,0.08,0.39,-0.43,1.79
DYSF,1.12,0.04,0.35,0.04,0.02,-0.87,-0.16,-0.73,0.5,-0.34,1.79
GSC,-0.15,-0.39,0.34,-0.91,-0.87,-0.76,-0.71,-0.9,-0.07,-0.83,1.79
IL17D,0.26,0.56,0.64,-0.71,0.29,-0.27,-0.82,-0.24,0.49,-0.35,1.79
NLRP5,-0.29,-0.21,0.87,-0.76,-0.17,-1.23,-0.7,-0.48,0.12,-0.67,1.79
SSPN,2.73,0.13,-0.58,-0.61,-0.18,0.47,-0.09,-0.14,0.76,-0.11,1.79
